Glaube#Röm 4:5#GerAlbrecht#null#null#Wer aber keine Werke aufweisen kann, sondern glaubt an den, der den Gottlosen rechtfertigt, dem wird sein Glaube angerechnet zur Gerechtigkeit.
#Jean 3:16#FRDBY#null#null#Dieu a tant aimé le monde, qu'il a donné son Fils unique, afin que quiconque croit en lui ne périsse pas, mais qu'il ait la vie éternelle.
#Hébreux 11:1#FRDBY# null#  taken from  #Or la foi est l'assurance des choses qu'on espère, et la conviction de celles qu'on ne voit pas.
#Jean 6:37#FRDBY#null#null#Tout ce que le Père me donne viendra à moi; et je ne mettrai point dehors celui qui vient à moi;
#Actes 16:31#FRDBY#    #      #Et ils dirent: Crois au Seigneur Jésus, et tu seras sauvé, toi et ta maison.
#1 Jean 5:4#FRDBY#         #    u      #parce que tout ce qui est né de Dieu est victorieux du monde; et c'est ici la victoire qui a vaincu le monde, savoir notre foi.
#Galates 5:6#FRDBY#  #  #Car, dans le Christ Jésus, ni circoncision, ni incirconcision, n'ont de valeur, mais la foi opérante par l' amour.
#Proverbes 1:7#FRDBY#null#null#La crainte de l'Éternel est le commencement de la connaissance; les fous méprisent la sagesse et l'instruction.
#Romains 10:4#FRDBY#   #   #Car Christ est la fin de la loi pour justice à tout croyant.
#Galates 3:22#FRDBY#   #   #Mais l'écriture a renfermé toutes choses sous le péché, afin que la promesse, sur le principe de la foi en Jésus Christ, fût donnée à ceux qui croient.
#Romains 1:17#FRDBY#   #   #Car la justice de Dieu y est révélée sur le principe de la foi pour la foi, selon qu'il est écrit: "Or le juste vivra de foi".
#Hébreux 11:1#FRDBY#   #   #Or la foi est l'assurance des choses qu'on espère, et la conviction de celles qu'on ne voit pas.
#Actes 16:31#FRDBY#   #   #Et ils dirent: Crois au Seigneur Jésus, et tu seras sauvé, toi et ta maison.
#2 Corinthiens 5:21#FRDBY##null#Celui qui n'a pas connu le péché, il l'a fait péché pour nous, afin que nous devinssions justice de Dieu en lui.
#2 Corinthiens 5:7#FRDBY#   #   #car nous marchons par la foi, non par la vue;
#1 Timothée 6:12#FRDBY#   #   #combats le bon combat de la foi; saisis la vie éternelle, pour laquelle tu as été appelé et tu as fait la belle confession devant beaucoup de témoins.
#Hébreux 11:6#FRDBY#   #   #Or, sans la foi il est impossible de lui plaire; car il faut que celui qui s'approche de Dieu croie que Dieu est, et qu'il est le rémunérateur de ceux qui le recherchent.
#Actes 13:38-39#FRDBY#   #   #Sachez donc, hommes frères, que par lui vous est annoncée la rémission des péchés,~LB~et que de tout ce dont vous n'avez pu être justifiés par la loi de Moïse, quiconque croit est justifié par lui.
#Hébreux 12:2#FRDBY#   #   #fixant les yeux sur Jésus, le chef et le consommateur de la foi, lequel, à cause de la joie qui était devant lui, a enduré la croix, ayant méprisé la honte, et est assis à la droite du trône de Dieu.
#Galates 2:20#FRDBY#   #   #Je suis crucifié avec Christ; et je ne vis plus, moi, mais Christ vit en moi; -et ce que je vis maintenant dans la chair, je le vis dans la foi, la foi au fils de Dieu, qui m'a aimé et qui s'est livré lui-même pour moi.
#Jean 3:5#FRDBY##  #Jésus répondit: En vérité, en vérité, je te dis: Si quelqu'un n'est né d'eau et de l'Esprit, il ne peut entrer dans le royaume de Dieu.
#Proverbes 18:2#FRDBY##null#Le sot ne prend pas plaisir à l'intelligence, mais à ce que son coeur soit manifesté.
#Romains 5:10#FRDBY##null#Car si, étant ennemis, nous avons été réconciliés avec Dieu par la mort de son Fils, beaucoup plutôt, ayant été réconciliés, serons-nous sauvés par sa vie.
#1 Corinthiens 13:1-3#FRDBY#null#null#Si je parle dans les langues des hommes et des anges, mais que je n'aie pas l'amour, je suis comme un airain qui résonne ou comme une cymbale retentissante.~LB~Et si j'ai la prophétie, et que je connaisse tous les mystères et toute connaissance, et que j'aie toute la foi de manière à transporter des montagnes, mais que je n'aie pas l'amour, je ne suis rien.~LB~Et quand je distribuerais en aliments tous mes biens, et que je livrerais mon corps afin que je fusse brûlé, mais que je n'aie pas l'amour, cela ne me profite de rien.
#Psaume 16:11#FRDBY#null#null#Tu me feras connaître le chemin de la vie; ta face est un rassasiement de joie, il y a des plaisirs à ta droite pour toujours.
#Actes 28:27#FRDBY#ne#null#car le coeur de ce peuple s'est épaissi et ils ont ouï dur de leurs oreilles, et ils ont fermé leurs yeux, de peur qu'ils ne voient des yeux, et qu'ils n'entendent des oreilles et qu'ils ne comprennent du coeur, et qu'ils ne se convertissent, et que je ne les guérisse".
#1 Jean 4:15#FRDBY##null#Quiconque confessera que Jésus est le Fils de Dieu, Dieu demeure en lui et lui en Dieu.
#Philippiens 2:5-11#FRDBY##null#Qu'il y ait donc en vous cette pensée qui a été aussi dans le Christ Jésus,~LB~étant en forme de Dieu, n'a pas regardé comme un objet à ravir d'être égal à Dieu,~LB~mais s'est anéanti lui-même, prenant la forme d'esclave, étant fait à la ressemblance des hommes;~LB~et, étant trouvé en figure comme un homme, il s'est abaissé lui-même, étant devenu obéissant jusqu'à la mort, et à la mort de la croix.~LB~C'est pourquoi aussi Dieu l'a haut élevé et lui a donné un nom au-dessus de tout nom,~LB~afin qu'au nom de Jésus se ploie tout genou des êtres célestes, et terrestres, et infernaux,~LB~et que toute langue confesse que Jésus Christ est Seigneur, à la gloire de Dieu le Père.
#Romains 3:21-22#FRDBY#   #   #Mais maintenant, sans loi, la justice de Dieu est manifestée, témoignage lui étant rendu par la loi et par les prophètes,~LB~la justice, dis-je, de Dieu par la foi de Jésus Christ envers tous, et sur tous ceux qui croient; car il n'y a pas de différence,
#Jean 1:12#FRDBY#   #   #Mais à tous ceux qui l'ont reçu, il leur a donné le droit d'être enfants de Dieu, savoir à ceux qui croient en son nom;
#Actes 4:12#FRDBY#null#null#et il n'y a de salut en aucun autre; car aussi il n'y a point d'autre nom sous le ciel, qui soit donné parmi les hommes, par lequel il nous faille être sauvés.
#Romains 5:8-11#FRDBY##null#mais Dieu constate son amour à lui envers nous, en ce que, lorsque nous étions encore pécheurs, Christ est mort pour nous.~LB~Beaucoup plutôt donc, ayant été maintenant justifiés par son sang, serons-nous sauvés de la colère par lui.~LB~Car si, étant ennemis, nous avons été réconciliés avec Dieu par la mort de son Fils, beaucoup plutôt, ayant été réconciliés, serons-nous sauvés par sa vie.~LB~Et non-seulement cela, mais aussi nous nous glorifiions en Dieu par notre Seigneur Jésus Christ, par lequel nous avons maintenant reçu la réconciliation.
#Romains 5:1#FRDBY#   #   #Ayant donc été justifiés sur le principe de la foi, nous avons la paix avec Dieu par notre Seigneur Jésus Christ,
#Philippiens 4:6-7#FRDBY#null#null#vous inquiétez de rien, mais, en toutes choses, exposez vos requêtes à Dieu par des prières et des supplications avec des actions de grâces;~LB~et la paix de Dieu, laquelle surpasse toute intelligence, gardera vos coeurs et vos pensées dans le Christ Jésus.
#Éphésiens 2:8-9#FRDBY#   #   #Car vous êtes sauvés par la grâce, par la foi, et cela ne vient pas de vous, c'est le don de Dieu;~LB~non pas sur le principe des oeuvres, afin que personne ne se glorifie;
#Galates 3:26#FRDBY#   #   #car vous êtes tous fils de Dieu par la foi dans le Christ Jésus.
#Éphésiens 3:16-17#FRDBY#   #   #afin que, selon les richesses de sa gloire, il vous donne d'être fortifiés en puissance par son Esprit, quant à l'homme intérieur;~LB~de sorte que le Christ habite, par la foi, dans vos coeurs,
